,FS-H,FS-A,FS-W,SS-H,SS-A,SS-W,FL1-H,FL1-A,FL1-W,FL2-H,FL2-A,FL2-W,FL3-H,FL3-A,FL3-W,FL4-H,FL4-A,FL4-W,FL5-H,FL5-A,FL5-W,FL6-H,FL6-A,FL6-W,FL7-H,FL7-A,FL7-W,FL8-H,FL8-A,FL8-W,FL9-H,FL9-A,FL9-W,FL10-H,FL10-A,FL10-W,Time
88,26320,175926,102,6570,36454,83,3653,19524,72,2946,12624,68,2161,11158,81,672,2300,68,1702,7781,70,950,5562,84,626,3800,87,281,1740,89,1069,5535,77,2044,9916,71,1674
89,36112,254705,108,3775,24087,96,6015,35287,88,3739,20388,84,4084,21854,77,1376,6442,57,1708,8351,72,189,1201,90,394,2390,87,205,1213,85,1801,10468,86,1804,10560,87,1689
90,30048,160710,79,1896,8645,65,3196,14672,75,1774,7601,62,1190,5366,70,932,2689,35,1723,8779,73,184,1000,78,345,1980,83,174,985,82,885,4042,68,1259,5609,62,1696
91,33936,212284,94,9589,53467,82,11253,55401,74,6474,33544,76,7167,34243,75,1696,7046,76,2665,13585,79,548,3577,96,647,4266,94,318,2072,95,2947,16927,86,2967,17514,87,1705
92,26944,214534,124,16432,95253,87,7087,41439,87,5963,32206,79,5461,26416,60,1031,5169,51,1940,10691,79,341,2444,106,421,2816,95,231,1469,91,1480,9463,95,1404,9079,96,1717
93,31312,166772,78,12976,62507,69,7869,36041,68,4555,20842,70,5701,22709,43,1036,4499,86,1979,9774,75,285,1698,84,498,3036,86,250,1508,87,2444,11340,67,2751,12609,66,1724
94,28368,153359,79,3918,17901,65,3361,14813,67,2172,9021,43,2151,7624,52,580,1407,32,1146,5261,68,129,774,80,211,1214,83,109,624,86,1217,5315,64,1303,6063,68,1729
95,40688,244730,85,11809,65903,78,8798,44356,74,5883,29126,69,6026,30263,72,1502,6851,69,2630,12754,71,593,3839,93,711,4458,90,339,2190,92,2420,15330,81,2639,15330,73,1731
96,30928,186141,90,3976,24291,93,4561,22613,72,2596,12469,75,2985,15973,70,1000,3898,43,1216,5292,66,137,762,83,235,1359,81,120,689,83,1244,6390,70,1276,6618,77,1774
97,26512,147073,81,3428,16618,71,7669,33138,62,4895,22922,67,5219,24742,79,918,4596,71,2585,12752,73,603,3802,91,726,4792,95,385,2514,96,1690,7715,62,2056,9190,62,1785
98,28272,152911,80,4149,20769,75,2885,12911,66,1695,7826,69,3119,9366,31,468,1335,56,1493,7470,70,141,881,89,254,1623,90,127,831,94,794,3437,58,861,3936,61,1793
99,29120,191744,100,6425,34814,80,7335,40257,85,5496,30940,86,4804,28242,96,1604,6771,46,2459,12087,73,271,1789,95,540,3350,88,285,1733,87,2429,14514,91,2728,15013,82,1816
100,36768,206865,84,4263,21415,74,7238,37426,80,5317,25896,76,6253,27978,67,2538,8298,33,2067,11017,80,705,3937,81,770,4351,80,360,2102,82,2167,10617,70,2530,12498,71,1818
101,33072,252910,118,8082,51441,97,6957,40935,92,3557,23217,104,4689,27042,88,1286,6153,56,1398,6111,62,210,1350,91,283,1702,86,155,866,76,1875,12612,103,1841,12012,98,1818
102,70896,596938,126,76640,467357,86,11523,83631,109,9627,66345,99,12115,92883,122,3858,20511,85,2213,15057,91,512,3777,109,678,4840,104,380,2652,102,8691,66212,100,7255,58223,108,1825
103,40256,302521,117,17488,99623,83,15280,85541,87,8503,54321,97,11075,51585,54,2950,12795,67,2746,15622,87,587,3930,97,733,4886,94,380,2437,91,4539,25657,78,4701,25227,76,1832
104,30160,189170,94,8947,54956,92,4263,20872,78,1992,10221,73,3529,14220,50,778,2805,69,1416,6454,65,140,853,79,298,1652,80,145,781,73,954,5167,77,861,5147,89,1835
105,26848,182854,105,4985,26075,76,6552,33719,78,3891,20600,83,4079,23010,88,865,3718,65,1726,8229,69,277,1709,90,410,2553,90,212,1249,84,1682,9363,81,1979,10519,78,1848
106,30048,177890,88,5274,28443,79,7152,34609,70,4352,20621,78,3942,24674,90,2085,6285,35,1601,7202,64,1178,6814,81,703,4041,82,297,1740,85,2148,11971,82,2521,13549,80,1869
107,27696,203501,115,4818,30103,93,4126,23102,91,2914,17946,94,2979,17146,57,1244,5605,66,1915,8277,60,194,1220,88,397,2103,75,212,1094,72,1380,9318,104,1421,9453,102,1879
108,30400,169304,81,4228,21613,76,6737,35237,77,4139,19650,71,3246,17776,87,1317,5647,69,1306,5392,58,263,1515,83,311,1796,83,148,845,82,1718,8387,72,1706,8383,71,1904
109,27232,196599,99,21776,135348,86,9377,53598,83,8513,49337,87,11066,62965,87,2189,10766,68,1799,8998,75,577,3849,91,586,3577,88,321,1869,80,3064,23725,104,3447,23310,84,1929
110,36256,230087,96,8792,47857,81,4966,23511,74,2570,15164,87,2390,11490,68,1010,5973,103,1458,6926,70,221,1272,86,325,1909,82,174,927,68,1392,7946,82,1910,9577,72,1937
111,29104,411751,248,11302,105802,104,9174,89729,206,5337,45368,145,5168,50485,228,939,9874,221,1874,18567,200,331,3873,221,422,5029,211,201,2353,206,1770,20728,230,1566,20555,234,1946
112,26784,196921,114,4978,29735,90,2489,14857,91,1581,7210,52,2096,8718,47,420,2109,97,1788,9222,74,173,1149,95,341,2159,92,165,1022,90,802,4528,84,1112,5849,79,1976
113,57872,424751,114,3392,23137,105,13984,85253,92,8018,50517,88,11924,59685,69,2293,13268,94,2460,18336,116,455,3374,110,619,4999,119,314,2545,118,3701,23770,98,3822,25743,103,2007
114,29360,175889,89,6440,31813,71,6655,29921,64,3891,17749,56,4623,21672,74,2028,7429,56,1638,10294,98,1160,7186,89,634,4212,94,259,1738,98,1553,7383,67,1937,9418,71,2014
